Date,Buffer pressure min,Buffer pressure max,Annulus pressure min,Annulus pressure max,Flow pressure min,Flow pressure max,T min,T max,Qliq,Qoil,Water cut,Qgas,Choke,Gas factor,Gas injection rate,Downtime,Potential oil production,Potential liquid production
2020-10-03,32.2,45.8,83.2,83.9,15.0,18.7,21,33,90.999984,54.77777778,39.8,20679,10,466,14.96,0.0,44.37,91.0
2020-10-06,15.1,41.2,77.9,82.0,15.0,20.5,33,55,100.479152,55.15470617,45.1,31831,22,675,0.42,1.25,47.14,106.0
2020-10-24,47.7,52.4,89.5,91.2,14.7,17.2,39,42,170.599992,106.0493827,37.8,70170,14,817,12.0,0.0,85.95,170.6
2020-10-25,48.6,51.6,90.3,91.0,14.8,17.1,40,42,161.899992,104.4938272,35.5,73737,14,871,12.0,0.0,84.58,161.9
2020-10-26,50.2,51.6,88.7,91.1,14.7,16.9,41,43,156.199992,104.691358,33.0,73296,14,864,10.27,0.0,84.77,156.2
2020-10-27,50.1,50.8,88.6,89.0,14.5,16.7,41,42,155.299992,104.9753086,32.4,72727,14,855,10.0,0.0,85.04,155.3
2020-10-28,50.2,50.8,88.6,89.0,15.2,16.9,41,42,154.2,104.617284,32.1,73466,14,867,10.0,0.0,84.81,154.2
2020-10-29,50.1,50.7,88.5,89.1,14.8,16.7,41,42,152.299992,103.2839506,32.1,73829,14,882,10.0,0.0,84.81,152.3
2020-10-30,50.2,50.8,88.4,89.0,14.7,17.4,41,42,150.0,102.5679012,31.6,73337,14,883,10.0,0.0,83.11,150.0
2020-10-31,50.2,50.8,88.4,89.0,14.7,17.4,41,42,150.0,102.5679012,31.6,73337,14,883,10.0,0.0,83.11,150.0
2020-11-01,49.7,50.5,87.7,88.9,15.2,17.6,42,43,151.2,103.8024691,31.3,72636,14,864,10.0,0.0,84.14,151.2
2020-11-02,50.0,50.3,88.6,88.9,15.2,18.5,41,43,155.799984,106.4691358,31.7,72287,14,838,10.01,0.0,86.19,155.8
2020-11-03,49.9,50.3,88.5,88.9,15.0,17.5,42,43,150.799992,102.9135802,31.8,71771,14,861,10.01,0.0,83.3,150.8
2020-11-04,49.7,50.4,88.4,89.8,15.6,17.9,42,43,154.699992,104.8395062,32.2,72315,14,852,9.97,0.0,84.96,154.7
2020-11-05,49.8,50.1,86.5,88.8,15.3,16.4,42,42,153.099984,104.5925926,32.2,72367,14,854,10.0,0.0,84.08,153.1
2020-11-06,49.1,50.1,88.0,88.7,15.3,16.2,42,42,153.099984,104.5925926,32.2,72367,14,854,9.87,0.0,84.08,153.1
2020-11-07,49.0,50.0,88.0,89.0,15.0,19.0,41,43,150.999984,103.7407407,31.3,71498,14,851,10.39,0.0,84.03,151.0
2020-11-08,49.0,50.0,88.0,89.0,15.0,19.0,41,43,150.999984,103.7407407,31.3,71498,14,851,9.87,0.0,84.03,151.0
2020-11-09,49.0,50.0,88.0,89.0,14.0,17.0,41,42,150.999984,103.7407407,31.3,71498,14,851,10.05,0.0,84.03,151.0
2020-11-10,49.0,50.0,87.0,89.0,14.0,18.0,41,43,151.999992,103.5061728,31.9,71707,14,855,10.11,0.0,83.84,152.0
2020-11-11,49.0,50.0,87.0,89.0,14.0,17.0,41,42,151.999992,103.5061728,31.9,71707,14,855,9.97,0.0,83.84,152.0
2020-11-12,49.0,50.0,87.0,89.0,14.0,17.0,40,42,151.999992,103.5061728,31.9,71707,14,855,9.93,0.0,83.84,152.0
2020-11-13,49.0,50.0,87.0,89.0,14.0,17.0,41,42,151.999992,103.5061728,31.9,71707,14,855,9.96,0.0,83.84,152.0
2020-11-14,49.0,50.0,87.0,89.0,14.0,17.0,41,42,151.999992,103.5061728,31.9,71707,14,855,10.04,0.0,83.84,152.0
2020-11-15,49.0,50.0,87.0,89.0,14.0,17.0,41,42,151.999992,103.5061728,31.9,71707,14,855,10.04,0.0,83.84,152.0
2020-11-16,49.0,50.0,86.0,89.0,14.0,17.0,41,42,151.999992,103.5061728,31.9,71707,14,855,9.99,0.0,83.84,152.0
2020-11-17,43.0,50.0,87.0,88.0,14.0,19.0,39,43,145.999992,101.617284,30.4,70412,14,855,9.99,0.0,82.31,146.0
2020-11-18,46.0,50.0,87.0,88.0,14.0,17.0,39,43,145.999992,101.617284,30.4,70412,14,855,10.01,0.0,82.31,146.0
2020-11-19,46.0,50.0,87.0,88.0,14.0,17.0,39,43,145.999992,101.617284,30.4,70412,14,855,9.98,0.0,82.31,146.0
2020-11-20,47.0,50.0,87.0,88.0,14.0,16.0,39,43,141.0,97.85185185,30.6,71075,14,897,9.99,0.0,79.26,141.0
2020-11-21,48.0,49.0,87.0,88.0,14.0,17.0,40,42,141.0,97.85185185,30.6,71075,14,897,10.0,0.0,79.26,141.0
2020-11-22,48.0,49.0,87.0,88.0,14.0,17.0,40,42,141.0,97.85185185,30.6,71075,14,897,9.99,0.0,79.26,141.0
2020-11-23,44.0,50.0,87.0,88.0,14.0,17.0,39,43,141.0,97.85185185,30.6,71075,14,897,9.99,0.0,79.26,141.0
2020-11-24,47.0,50.0,84.0,88.0,14.0,20.0,40,43,130.625,91.43261235,30.0,71949,14,961,9.97,0.25,74.84,132.0
2020-11-25,43.0,50.0,87.0,88.0,14.0,18.0,38,44,132.0,92.39506173,30.0,71949,14,961,9.94,0.0,74.84,132.0
2020-11-26,43.0,50.0,83.0,88.0,14.0,17.0,38,44,129.25,90.4701642,30.0,71949,14,961,9.75,0.5,74.84,132.0
2020-11-27,44.0,50.0,86.0,88.0,14.0,17.0,41,43,132.0,92.39506173,30.0,71949,14,961,9.78,0.0,74.84,132.0
2020-11-28,48.0,50.0,87.0,88.0,14.0,19.0,41,43,132.0,92.39506173,30.0,71949,14,961,9.99,0.0,74.84,132.0
2020-11-29,46.0,49.0,85.0,88.0,14.0,18.0,41,43,130.625,91.43261235,30.0,71949,14,961,9.93,0.25,74.84,132.0
2020-11-30,46.0,50.0,86.0,88.0,14.0,18.0,41,43,132.0,92.39506173,30.0,71949,14,961,9.96,0.0,74.84,132.0
2020-12-01,43.0,50.0,88.0,89.0,14.0,17.0,38,44,132.0,92.39506173,30.0,71949,14,961,9.95,0.0,74.84,132.0
2020-12-02,43.0,51.0,88.0,89.0,14.0,17.0,38,44,142.999992,91.2345679,36.2,74106,14,1003,9.99,0.0,73.9,143.0
2020-12-03,43.0,51.0,88.0,89.0,14.0,17.0,38,44,141.510409,90.28420741,36.2,74106,14,1003,9.92,0.25,73.9,143.0
2020-12-04,41.0,51.0,84.0,88.0,14.0,17.0,38,44,142.999992,91.2345679,36.2,74106,14,1003,9.97,0.0,73.9,143.0
2020-12-05,41.0,51.0,84.0,88.0,14.0,17.0,38,44,147.0,94.96296296,35.4,69993,14,910,9.99,0.0,76.92,147.0
2020-12-06,41.0,51.0,87.0,88.0,14.0,17.0,38,44,143.9375,92.9845679,35.4,69993,14,910,9.03,0.5,76.92,147.0
2020-12-07,40.0,50.0,85.0,89.0,13.0,17.0,37,45,147.0,94.96296296,35.4,69993,14,910,10.01,0.0,76.92,147.0
2020-12-08,41.0,49.0,87.0,88.0,14.0,19.0,37,43,145.46875,93.97376543,35.4,69993,14,910,9.87,0.25,76.92,147.0
2020-12-09,43.0,50.0,85.0,88.0,14.0,17.0,38,43,127.999992,82.69135802,35.4,71381,14,1066,9.61,0.0,66.98,128.0
2020-12-10,46.0,48.0,85.0,88.0,14.0,17.0,41,43,133.999992,86.7037037,35.3,71885,14,1024,9.76,0.0,70.23,134.0
2020-12-11,47.0,49.0,87.0,88.0,14.0,16.0,40,42,133.999992,86.7037037,35.3,71885,14,1024,9.92,0.0,70.23,134.0
2020-12-12,40.0,50.0,86.0,88.0,14.0,22.0,37,44,138.999984,88.25925926,36.5,70257,14,983,9.85,0.0,71.49,139.0
2020-12-13,42.0,49.0,87.0,88.0,14.0,19.0,38,43,133.999992,85.88888889,35.9,70619,14,1015,10.02,0.0,69.57,134.0
2020-12-14,42.0,49.0,87.0,88.0,14.0,19.0,38,43,133.999992,85.88888889,35.9,70619,14,1015,10.01,0.0,69.57,134.0
2020-12-15,42.0,50.0,87.0,88.0,14.0,17.0,37,44,133.999992,85.88888889,35.9,70619,14,1015,10.0,0.0,69.57,134.0
2020-12-16,39.0,50.0,87.0,88.0,14.0,17.0,36,44,133.999992,85.88888889,35.9,70619,14,1015,10.02,0.0,69.57,134.0
2020-12-17,39.0,50.0,87.0,88.0,14.0,17.0,36,44,133.999992,15.54320988,35.9,70619,14,1015,10.04,0.0,69.57,134.0
2020-12-18,39.0,50.0,87.0,88.0,14.0,17.0,36,44,138.0,87.7654321,36.4,70004,14,985,10.0,0.0,71.09,138.0
2020-12-19,39.0,50.0,87.0,88.0,14.0,17.0,36,44,138.0,87.7654321,36.4,70004,14,985,10.0,0.0,71.09,138.0
2020-12-20,39.0,49.0,85.0,88.0,13.0,17.0,36,45,138.0,87.7654321,36.4,70004,14,985,9.9,0.0,71.09,138.0
2020-12-21,40.0,50.0,87.0,88.0,14.0,21.0,36,44,141.0,88.82716049,37.0,69492,14,966,9.99,0.0,71.95,141.0
2020-12-22,39.0,50.0,84.0,88.0,14.0,16.0,36,44,141.0,88.82716049,37.0,69492,14,966,9.96,0.0,71.95,141.0
2020-12-23,39.0,50.0,84.0,88.0,14.0,16.0,36,44,141.0,88.82716049,37.0,69492,14,966,9.99,0.0,71.95,141.0
2020-12-24,38.0,50.0,87.0,88.0,14.0,23.0,37,45,141.0,88.82716049,37.0,69492,14,966,9.97,0.0,71.95,141.0
2020-12-25,38.0,50.0,87.0,88.0,14.0,23.0,37,45,141.0,88.82716049,37.0,69492,14,966,10.02,0.0,71.95,141.0
2020-12-26,39.0,50.0,87.0,88.0,14.0,21.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.98,0.0,76.58,152.0
2020-12-27,39.0,50.0,86.0,88.0,15.0,19.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.85,0.0,76.58,152.0
2020-12-28,39.0,50.0,86.0,88.0,15.0,19.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.73,0.0,76.58,152.0
2020-12-29,38.0,49.0,87.0,88.0,15.0,19.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.78,0.0,76.58,152.0
2020-12-30,37.0,49.0,86.0,88.0,15.0,19.0,36,45,151.999992,94.54320988,37.8,67236,14,878,9.97,0.0,76.58,152.0
2020-12-31,37.0,48.0,86.0,88.0,15.0,19.0,36,45,196.333323,122.1183123,37.8,67236,14,878,12.5,0.0,76.58,152.0
2021-01-01,36.0,48.0,87.0,88.0,15.0,19.0,36,45,107.666661,66.96810617,37.8,67236,14,878,7.07,0.0,76.58,152.0
